Mail,Review
"Mr. Allen -

Per our phone conversation, please see the instructions below to get access
to view FERC meetings.  Please advise if there are any problems, questions or
concerns. ",FALSE
"Suzanne,               

 Can you give me more details or email  the plan prior to meeting?  What do I
need to provide besides headcount?
 Otherwise any afternoon next week would be fine"", False
 ""Please plan to attend a meeting on Friday, August 11 at 11:15 a.m. in 30C1 to
discuss the transportation model.  Now that we have had several traders
managing transportation positions for several months, I would like to discuss
any issues you have with the way the model works.   I have asked Zimin Lu
(Research), Mark Breese and John Griffith (Structuring) to attend so they
will be available to answer any technical questions.   The point of this
meeting is to get all issues out in the open and make sure everyone is
comfortable with using the model and position manager, and to make sure those
who are managing the books believe in the model's results.   Since I have
heard a few concerns, I hope you will take advantage of this opportunity to
discuss them.

Please let me know if you are unable to attend.",TRUE
Are there behind closed doors discussions being held prior to the meeting?  Is there the potential for a surprise announcement of some sort of fixed price gas or power cap once the open meeting finally happens?,FALSE
"Janie,

Thanks for the fax on SW Gas.

We are meeting with Larry Black, Bob Armstrong & Ed Zub on April 27th to
discuss asset management.  In preparation for that meeting we would like to
gain an understanding of the nature of our business relationship with SW.
Could you, in general terms, describe our sales activities with SW.  What are
typical quantities and term on sales?  Are there any services we provide?
How much pipeline capacity do we buy or sell to them?  Who are your main 
contacts at SW Gas?

We will propose to provide a full requirements supply to SW involving our
control of their assets.  For this to be attractive to SW, we will probably
have to take on their regulatory risk on gas purchase disallowance with the
commissions.  This will be difficult as there is no clear mandate from their
commissions as to what an acceptable portfolio (fixed, indexed, collars....)
should look like.  Offering them a guaranteed discount to the 1st of month
index may not be attractive unless we accept their regulatory risk.  That
risk may not be acceptable to the desk.  I will do some investigation of 
their PGA's and see if there is an opportunity.

As to the asset management:  do you have any preference on structure?  Are
there elements that you would like to see?  Any ideas at all would be greatly
appreciated.

Thanks,

Laird",FALSE
"Please plan on attending a meeting on Thursday, March 23 at 11:15 am in Room
3127.  This meeting will be brief.  I would like to take the time to
introduce Bhavna Pandya, and get some input from you on various projects she
will be assisting us with.  Thank you.",TRUE
"Will,   
        
        
Here is a list of the top items we need to work on to improve the position
and p&l reporting for the west desk.
My underlying goal is to create position managers and p&l reports that
represent all the risk held by the desk
and estimate p&l with great accuracy.


Let's try and schedule a meeting for this Wednesday to go over the items 
above. 

Phillip ",TRUE
"Traveling to have a business meeting takes the fun out of the trip.
Especially if you have to prepare a presentation.  I would suggest holding
the business plan meetings here then take a trip without any formal business
meetings.  I would even try and get some honest opinions on whether a trip is
even desired or necessary.

As far as the business meetings, I think it would be more productive to try
and stimulate discussions across the different groups about what is working
and what is not.  Too often the presenter speaks and the others are quiet
just waiting for their turn.   The meetings might be better if held in a
round table discussion format.  

My suggestion for where to go is Austin.  Play golf and rent a ski boat and
jet ski's.  Flying somewhere takes too much time.",FALSE
"Jim,

Is there going to be a conference call or some type of weekly meeting about
all the regulatory issues facing California this week?  Can you make sure the
gas desk is included.",TRUE
"Phil,  I suspect that discussions/negotiations are taking place behind closed
doors """"in smoke filled rooms"""", if not directly between Commissioners then
among FERC staffers.  Never say never, but I think it is highly unlikely that
the final order will contain a fixed price cap.  I base this belief in large
part on what I heard at a luncheon I attended yesterday afternoon at which
the keynote speaker was FERC Chairman Curt Hebert.  Although the Chairman
began his presentation by expressly stating that he would not comment or 
answer questions on pending proceedings before the Commission, Hebert had
some enlightening comments which relate to price caps:

Price caps are almost never the right answer
Price Caps will have the effect of prolonging shortages
Competitive choices for consumers is the right answer
Any solution, however short term, that does not increase supply or reduce
demand, is not acceptable
Eight out of eleven western Governors oppose price caps, in that they would
export California's problems to the West

This is the latest intelligence I have on the matter, and it's a pretty
strong anti- price cap position.  Of course, Hebert is just one Commissioner
out of 3 currently on the Commission, but he controls the meeting agenda and
if the draft order is not to his liking, the item could be bumped off the
agenda.  Hope this info helps.  Ray",FALSE
"Johnnie,      

Thank you for meeting with me on Friday.  I left feeling very optimistic
about the panel system.  I would like to find a way to incorporate the panels
into the home design I showed you.  In order to make it feasible within my
budget I am sure it will take several iterations.  The prospect of purchasing
the panels and having your  framers install them may have to be considered.
However, my first choice would be for you to be the general contractor.

I realize you receive a number of calls just seeking information about this
product with very little probability of a sale.  I just want to assure you
that I am going to build this house in the fall and I would seriously
consider using the panel system if it truly was only a slight increase in
cost over stick built.

Please email your cost estimates when complete.

Thank you,",FALSE
